id,title,release_date,vote_average,budget,revenue
385687,Fast X,2023-05-17,7.4,340000000.0,652000000.0
603692,John Wick: Chapter 4,2023-03-22,7.9,90000000.0,431769198.0
569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.8,100000000.0,313522201.0
536437,Hypnotic,2023-05-11,6.5,70000000.0,0.0
667538,Transformers: Rise of the Beasts,2023-06-06,7.4,200000000.0,171045464.0
890771,The Black Demon,2023-04-26,6.5,0.0,0.0
447277,The Little Mermaid,2023-05-18,6.2,250000000.0,414000000.0
76600,Avatar: The Way of Water,2022-12-14,7.7,460000000.0,2320250281.0
713704,Evil Dead Rise,2023-04-12,7.1,15000000.0,141512122.0
1018494,Operation Seawolf,2022-10-07,6.0,15000.0,23000.0
447365,Guardians of the Galaxy Vol. 3,2023-05-03,8.1,250000000.0,805801000.0
640146,Ant-Man and the Wasp: Quantumania,2023-02-15,6.5,200000000.0,475766228.0
840326,Sisu,2023-01-27,7.4,6200000.0,10568631.0
879444,Accident Man: Hitman's Holiday,2022-10-14,6.6,0.0,0.0
758323,The Pope's Exorcist,2023-04-05,7.2,18000000.0,70204828.0
1073140,The Three Musketeers,2023-03-23,5.4,0.0,0.0
1107872,Mother's Day,2023-05-24,6.0,0.0,0.0
799379,Project Wolf Hunting,2022-09-21,6.4,9000000.0,0.0
882569,Guy Ritchie's The Covenant,2023-04-19,7.7,55000000.0,17100000.0
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.4,90000000.0,375464627.0
594767,Shazam! Fury of the Gods,2023-03-15,6.7,125000000.0,133437105.0
677179,Creed III,2023-03-01,7.3,75000000.0,269000000.0
620705,Crater,2023-05-12,6.7,0.0,0.0
1070777,One Day as a Lion,2023-04-04,5.9,0.0,0.0
552688,The Mother,2023-05-04,6.8,0.0,0.0
315162,Puss in Boots: The Last Wish,2022-12-07,8.3,90000000.0,480000000.0
1105803,Snag,2023-04-28,5.9,0.0,0.0
893712,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,2022-10-22,7.7,0.0,0.0
298618,The Flash,2023-06-13,6.6,190000000.0,0.0
976912,Graphic Desires,2022-08-15,4.2,0.0,0.0
934433,Scream VI,2023-03-08,7.3,35000000.0,168541093.0
868759,Ghosted,2023-04-18,7.0,0.0,0.0
420808,Peter Pan & Wendy,2023-04-20,5.8,0.0,0.0
1074034,Ambush,2023-02-24,6.3,0.0,0.0
634649,Spider-Man: No Way Home,2021-12-15,8.0,200000000.0,1921847111.0
91314,Transformers: Age of Extinction,2014-06-25,5.9,210000000.0,1104054072.0
505642,Black Panther: Wakanda Forever,2022-11-09,7.2,250000000.0,859102154.0
436270,Black Adam,2022-10-19,7.1,200000000.0,393252111.0
916224,Suzume,2022-11-11,7.9,0.0,321092572.0
493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,7.5,151000000.0,208177026.0
977866,The Ghosts of Monday,2022-08-29,4.0,0.0,0.0
638974,Murder Mystery 2,2023-03-28,6.6,0.0,0.0
1098160,The Tank,2023-04-21,4.9,0.0,0.0
8869,Eight Legged Freaks,2002-07-17,5.7,30000000.0,45867333.0
977223,Polite Society,2023-04-27,6.6,0.0,0.0
816904,Mummies,2023-01-05,7.2,12300000.0,34200000.0
1109207,Taz: Quest for Burger,2023-06-06,5.4,0.0,0.0
649609,Renfield,2023-04-07,6.8,65000000.0,24187819.0
335988,Transformers: The Last Knight,2017-06-16,6.1,217000000.0,605425157.0
1020696,Play Dead,2022-12-09,6.6,0.0,356840.0
1094403,Malum,2023-03-31,6.1,0.0,0.0
736790,Chupa,2023-04-07,6.5,0.0,0.0
702621,Lullaby,2022-12-16,5.6,20000000.0,0.0
804150,Cocaine Bear,2023-02-22,6.3,32500000.0,89020092.0
536554,M3GAN,2022-12-28,7.3,12000000.0,176830912.0
1033219,Attack on Titan,2022-09-30,6.1,0.0,0.0
25565,Transformers: Beginnings,2006-10-16,6.9,0.0,0.0
980078,Winnie the Pooh: Blood and Honey,2023-01-27,5.7,100000.0,5200000.0
646389,Plane,2023-01-12,6.9,25000000.0,51000000.0
19995,Avatar,2009-12-15,7.6,237000000.0,2923706026.0
976573,Elemental,2023-06-14,6.3,200000000.0,0.0
10144,The Little Mermaid,1989-11-17,7.4,40000000.0,211343479.0
700391,65,2023-03-02,6.2,45000000.0,55000000.0
985939,Fall,2022-08-11,7.3,3000000.0,16120263.0
809787,Mafia Mamma,2023-04-13,6.7,41000000.0,3902761.0
727340,Hunt,2022-08-10,6.7,17000000.0,0.0
